,character name,Appearances,Minor Appearances,Mentions,Total Appearances (Full and Minor),Appearances and Mentions (Full + Minor + Mentions)
675,Cerberus (O.Z. Chase),1,0,0,1,1
676,Vladimir Zaitsev,1,0,0,1,1
668,Norman Belmont,1,1,0,2,2
342,Theodore Sallis,1,0,0,1,1
679,Jessán Hoan,1,0,1,1,2
340,Douglas Moore,1,0,0,1,1
667,Sally Harding,1,1,0,2,2
684,Mei Ling (Child),1,0,0,1,1
685,Billy Mao,1,0,0,1,1
687,Azazello,1,0,0,1,1
688,Behemoth (Demon),1,0,0,1,1
689,Koroviev,1,0,0,1,1
334,Bruce Banner (Earth-811),1,0,0,1,1
333,Johnathon Blaze (Earth-811),1,0,0,1,1
332,Susan Storm (Earth-811),1,0,0,1,1
727,Annie Richardson,1,1,1,2,3
303,Max Eisenhardt (Earth-811),1,1,1,2,3
363,Hu Yaobang,1,0,0,1,1
789,"Landau, Luckman & Lake",1,0,0,1,1
647,Glow Worm,1,1,1,2,3
646,Joey Black,1,0,0,1,1
776,Warpies,1,0,0,1,1
644,Ben Lockin,1,0,0,1,1
359,Leonid Brezhnev,1,0,0,1,1
273,August Hopper,1,1,0,2,2
360,Daniel Arap Moi,1,0,0,1,1
788,Ruth Wu,1,0,0,1,1
362,Deng Xiaoping,1,0,0,1,1
761,Matthew Plunder,1,0,0,1,1
266,Paul Bailey,1,0,0,1,1
795,Harriers,1,0,0,1,1
796,Jerome Hamilton (Battleaxe),1,0,0,1,1
797,Zeke Sallinger,1,0,0,1,1
798,Amelia Greer,1,0,0,1,1
799,Jesus Suarez,1,0,0,1,1
800,Tom Nakadai,1,0,0,1,1
801,Lifeline,1,0,0,1,1
289,Zelda Kurtzberg,1,1,0,2,2
648,Bulk,1,1,1,2,3
733,Lou Marcelli,1,0,0,1,1
744,Perry White,1,0,0,1,1
734,Billy Sullivan (Security),1,0,0,1,1
737,Conquest,1,0,0,1,1
738,Cosmic Cutie Commandos,1,0,0,1,1
739,Hades Horde,1,0,0,1,1
740,Frankie Raye,1,0,1,1,2
741,John Ostrander,1,0,0,1,1
742,Jeremy Bingham,1,0,0,1,1
743,James Olsen,1,0,0,1,1
745,George H. W. Bush,1,0,2,1,3
759,Peter (Nereel),1,0,0,1,1
747,Sharon Kelly,1,1,0,2,2
301,Franklin Richards (Earth-811),1,3,2,4,6
297,Marie Cartier,1,0,0,1,1
296,Paul Cartier,1,0,0,1,1
295,Tommy Parnall,1,0,0,1,1
294,Joe Parnall,1,0,0,1,1
650,Piper (Morlock),1,0,0,1,1
649,Cybelle,1,0,0,1,1
943,New Mutants (Earth-8510),1,0,1,1,2
872,Nga Coy Manh,1,1,6,2,8
945,Amara Aquilla (Earth-8510),1,0,1,1,2
592,Commission on Superhuman Activities,1,1,0,2,2
1045,Gerhard van Ostamgen,1,0,0,1,1
1047,Raek,1,0,0,1,1
1048,Gyrk,1,0,0,1,1
199,Luke Cage,1,0,0,1,1
595,Anya Eisenhardt,1,0,2,1,3
992,James Howlett (Earth-8720),1,0,0,1,1
991,Piotr Rasputin (Earth-8720),1,0,0,1,1
197,John Byrne,1,0,0,1,1
988,X-Men (Earth-8720),1,0,0,1,1
984,Lila Cheney (Earth-8720),1,0,0,1,1
983,Brightwind (Earth-8720),1,0,0,1,1
982,Danielle Moonstar (Earth-8720),1,0,2,1,3
591,David Shulman,1,0,0,1,1
581,Shani,1,0,0,1,1
590,Ruth Shulman,1,0,0,1,1
980,New Mutants (Earth-8720),1,0,2,1,3
979,"James Douglas, Lord of Douglas",1,0,0,1,1
187,Takeo Fukuda,1,0,0,1,1
588,Avram Goldberg,1,0,0,1,1
977,Robert the Bruce,1,0,0,1,1
380,Skur'kll,1,0,0,1,1
383,Sapt,1,0,0,1,1
975,Mary Bodine,1,0,0,1,1
974,Jim Bodine,1,0,0,1,1
973,Larry Bodine,1,0,0,1,1
972,Police Scotland,1,0,0,1,1
997,Freedom Force (Earth-8720),1,0,0,1,1
998,St. John Allerdyce (Earth-8720),1,0,0,1,1
1043,Fireflyte,1,0,0,1,1
999,Frederick Dukes (Earth-8720),1,0,0,1,1
1035,Ruth Eisenhardt,1,0,0,1,1
1034,Edie Eisenhardt,1,0,0,1,1
1033,Jakob Eisenhardt,1,0,0,1,1
946,Roberto Da Costa (Earth-8510),1,0,1,1,2
597,James Jaspers,1,0,0,1,1
599,Michelle Deveraux,1,0,0,1,1
1018,Archangel (Earth-87050),1,0,0,1,1
1017,Katherine Power (Earth-87050),1,0,0,1,1
1016,New Mutant Bratpack (Earth-87050),1,0,0,1,1
1014,Benjamin Grimm (Earth-8720),1,0,0,1,1
1013,Jonathan Storm (Earth-8720),1,0,0,1,1
1012,Reed Richards (Earth-8720),1,0,0,1,1
1011,Fantastic Four (Earth-8720),1,0,0,1,1
1009,Barbara Morse (Earth-8720),1,0,0,1,1
1008,Clinton Barton (Earth-8720),1,0,0,1,1
1007,Anthony Stark (Earth-8720),1,0,0,1,1
1041,Arcturus Rann,1,0,0,1,1
1006,Monica Rambeau (Earth-8720),1,0,0,1,1
1005,Hercules Panhellenios (Earth-8720),1,0,0,1,1
1004,Dane Whitman (Earth-8720),1,0,0,1,1
1042,Mari,1,0,0,1,1
1003,Greer Nelson (Earth-8720),1,0,0,1,1
1002,Janet Van Dyne (Earth-8720),1,0,0,1,1
1001,Steven Rogers (Earth-8720),1,0,0,1,1
1000,Avengers (Earth-8720),1,0,0,1,1
582,Mjnari,1,0,0,1,1
981,Samuel Guthrie (Earth-8720),1,0,2,1,3
179,Kor-At,1,0,0,1,1
1079,Zeus Panhellenios,1,0,0,1,1
1082,Jaime Suarez,1,0,0,1,1
385,Borderers,1,0,0,1,1
386,Webwing,1,0,0,1,1
178,Sun-People,1,0,0,1,1
605,Russian Armed Forces,1,0,0,1,1
210,Roger Stern,1,0,0,1,1
1085,Flosi,1,0,0,1,1
186,Deterrence Research Corporation,1,0,0,1,1
965,Monica Rambeau,1,0,0,1,1
1086,Garm,1,0,0,1,1
387,Sea Spine,1,0,0,1,1
176,Bernard Kloss,1,0,0,1,1
601,Préfecture de Police de Paris,1,0,0,1,1
962,Massachusetts State Police,1,1,0,2,2
177,Tandy Snow,1,0,0,1,1
968,Patrick Roberts,1,0,0,1,1
375,Central Intelligence Agency,1,0,2,1,3
957,Hades,1,1,0,2,2
579,New York City Fire Department,1,0,1,1,2
1080,Phoebus Apollo,1,0,0,1,1
949,Philip Sullivan,1,0,0,1,1
947,Rahne Sinclair (Earth-8510),1,0,1,1,2
948,Dale Sullivan,1,0,0,1,1
1081,Ares,1,0,0,1,1
337,Fantastic Four (Earth-811),0,0,1,0,1
758,Herbert Wyndham,0,0,4,0,4
766,Brood Queen,0,1,0,1,1
1087,Ulik,0,0,1,0,1
1507,Steven Rogers (Earth-2122),0,0,1,0,1
1107,Utgard-Loki,0,0,2,0,2
1598,Lucas Bishop (Earth-1191),0,1,0,1,1
1506,Kurt Wagner (Earth-2122),0,0,1,0,1
336,Robert Kelly (Earth-811),0,1,2,1,3
765,Ogun (Ninja),0,2,0,2,2
548,International Criminal Police Organization,0,0,2,0,2
1599,Trevor Fitzroy (Earth-1191),0,1,0,1,1
285,Kevin Sidney,0,1,0,1,1
1039,Jack Power (Earth-87050),0,0,1,0,1
1605,Dalton Trumbo,0,0,1,0,1
1040,Franklin Richards (Earth-87050),0,0,1,0,1
1600,Malcolm (Earth-1191),0,1,0,1,1
580,King Kong,0,0,1,0,1
574,Aelfyre Whitemane,0,0,1,0,1
1611,Amanda Smith,0,0,1,0,1
1594,Michael Tyson,0,0,1,0,1
476,Eric Blair,0,0,1,0,1
475,Samuel Prydeman,0,0,2,0,2
275,Super-Adaptoid,0,1,0,1,1
1475,Brian Braddock (Earth-9019),0,0,1,0,1
1476,Elizabeth Braddock (Earth-9019),0,0,1,0,1
1477,James Braddock Sr. (Earth-9019),0,0,1,0,1
1478,Elizabeth Hartwood (Earth-9019),0,0,1,0,1
1479,Chief Toren (Earth-9019),0,0,1,0,1
276,Maha Yogi,0,1,0,1,1
777,Resources Control Executive,0,0,1,0,1
472,"Joseph Danvers, Jr.",0,1,0,1,1
471,Steven Danvers,0,2,0,2,2
1037,Warlock (Earth-87050),0,0,1,0,1
277,Ralph Roberts,0,1,0,1,1
278,Romulus Augustulus,0,1,0,1,1
279,Harvey Elder,0,1,0,1,1
469,Zsaji,0,2,3,2,5
280,Thomas Regal,0,1,0,1,1
1038,Alexander Power (Earth-87050),0,0,1,0,1
281,Mutant Master,0,1,0,1,1
282,Gor-Tok,0,1,1,1,2
444,Nabatone Yokuse,0,1,0,1,1
1493,Scott Summers (Earth-2122),0,0,1,0,1
466,SJ3RX,0,0,1,0,1
465,Godzilla,0,1,1,1,2
283,Lani Ubanu,0,1,0,1,1
284,Calvin Rankin,0,1,0,1,1
1595,X-Factor (Government),0,0,1,0,1
550,Maria Proudstar,0,0,1,0,1
1044,Sir Lancelot,0,0,1,0,1
707,Abraham Lincoln,0,0,1,0,1
1136,Tyler Smithson,0,0,1,0,1
719,Abraham,0,0,1,0,1
1135,Saburo Yoshida,0,0,1,0,1
1546,Komitet Gosudarstvennoy Bezopasnosti (Earth-8908),0,0,1,0,1
589,Simon Goldberg,0,0,1,0,1
560,Bob Edwards,0,2,0,2,2
1072,Cyttorak,0,0,1,0,1
1118,Robert Baldwin,0,0,1,0,1
587,United States Congress (Earth-811),0,0,1,0,1
1119,Anjezë Gonxhe Bojaxhiu,0,0,1,0,1
586,Phoenix Force (Earth-811),0,0,1,0,1
1554,Margaret Craig (Pseudoplasm),0,1,0,1,1
664,Yankee Clipper (Female),0,0,1,0,1
706,Benjamin Franklin,0,0,1,0,1
348,Margali Szardos,0,0,5,0,5
1120,Knights of the Round Table,0,0,1,0,1
30,Milos Masaryk,0,2,0,2,2
1121,Lucifer,0,0,1,0,1
1560,Weird Happenings Organization (Earth-90122),0,1,0,1,1
1561,Dai Thomas (Earth-90122),0,1,0,1,1
1562,Alysande Stuart (Earth-90122),0,1,0,1,1
1563,Excalibur (Earth-90122),0,1,0,1,1
1564,Captain Britain (Earth-90122),0,1,0,1,1
1574,Pietro Maximoff (Earth-811),0,0,1,0,1
1565,Kurt Wagner (Earth-90122),0,1,0,1,1
1122,Louis Richter,0,0,3,0,3
1566,Morgan (Earth-90122),0,1,0,1,1
1567,Dark Tiger (Earth-90122),0,1,0,1,1
347,Herr Getmann's Traveling Menagerie,0,0,3,0,3
349,United States Coast Guard,0,0,1,0,1
1593,Weapon X,0,0,1,0,1
1077,Annihilus,0,0,2,0,2
356,Alpha (Mutant),0,2,0,2,2
549,Neal Proudstar,0,0,1,0,1
26,Hirohito,0,0,2,0,2
1568,Arizona (Earth-90122),0,1,0,1,1
1046,Gaius Lucullus Umber,0,0,1,0,1
335,Brotherhood of Evil Mutants (Earth-811),0,0,2,0,2
749,Twelve (Mutants),0,1,3,1,4
748,Arabella Jones,0,1,0,1,1
746,Shaw Industries,0,1,5,1,6
203,Ahmet Abdol,0,1,1,1,2
553,Bartholomew Jones,0,0,1,0,1
596,Geheime Staatspolizei,0,0,4,0,4
575,Roy Craig,0,0,1,0,1
1585,Marc Spector,0,0,1,0,1
384,National Aeronautics and Space Administration,0,0,1,0,1
594,United States Government,0,0,2,0,2
457,Azazel,0,0,1,0,1
196,Jeryn Hogarth,0,0,1,0,1
1142,Roxxon Energy Corporation,0,0,1,0,1
736,Zhan Lee,0,0,1,0,1
735,Jingyi Lee,0,0,1,0,1
1141,Taylor Foundation,0,0,1,0,1
1533,Mandragon (Earth-TRN217),0,0,1,0,1
593,Chava Prydeman,0,0,1,0,1
435,Herbert George Wells,0,0,2,0,2
355,Maeve Rourke,0,0,1,0,1
1036,Hellfire Club (Earth-87050),0,0,1,0,1
729,William Shakespeare,0,0,1,0,1
417,Mar-Vell,0,0,1,0,1
1027,James Howlett (Earth-87050),0,1,0,1,1
781,Emil Vachon,0,0,2,0,2
493,Julius Caesar,0,0,4,0,4
883,Peter Bristow's mother,0,1,0,1,1
224,Royal Marines,0,0,1,0,1
616,Yahweh,0,0,11,0,11
615,Charles Dickens,0,0,2,0,2
613,New York Mets,0,0,3,0,3
892,Roberto Da Costa's sister,0,0,1,0,1
971,Charasulla,0,1,0,1,1
970,Gitche Manitou ,0,0,1,0,1
969,Colorado State Patrol,0,0,1,0,1
896,Juliana Sandoval,0,2,3,2,5
1326,Adolf Hitler (Earth-597),0,0,2,0,2
1325,National Socialist German Workers Party (Earth-597),0,1,2,1,3
897,Thomas Zebulon Guthrie,0,0,9,0,9
526,X-Men (Earth-8591),0,0,1,0,1
967,Mantis (Brandt),0,0,1,0,1
1340,Jacqueline Falsworth,0,0,1,0,1
1341,Elizabeth Windsor II,0,0,1,0,1
1342,Sherlock Holmes,0,0,1,0,1
234,Kiss,0,0,1,0,1
37,Krakoa,0,2,3,2,5
870,Xi'an Coy Manh's mother,0,1,1,1,2
978,Confederate States Army,0,0,1,0,1
1092,Surtur,0,0,1,0,1
873,Tran Coy Manh,0,1,3,1,4
874,Black Eagle,0,1,11,1,12
45,Bolivar Trask,0,0,2,0,2
882,Peter Bristow's father,0,1,0,1,1
46,Lawrence Trask,0,0,4,0,4
976,Wolfgang Amadeus Mozart,0,0,1,0,1
1348,Michael Scott,0,0,1,0,1
620,Jinjav Sabree (Earth-5311),0,0,1,0,1
619,Shagreen (Earth-5311),0,0,1,0,1
233,Jean Grey (Lady Grey),0,5,0,5,5
966,Jacques Duquesne,0,0,1,0,1
600,United Nations Security Council,0,0,1,0,1
274,Juan Meroz,0,1,0,1,1
494,Gaius Octavius,0,0,1,0,1
923,Kurt Marko,0,0,1,0,1
956,United States Cavalry,0,0,1,0,1
955,Arthur Clarke,0,0,1,0,1
926,George Armstrong Custer,0,0,2,0,2
954,Connecticut State Police,0,0,1,0,1
928,Alexander Flynn,0,2,2,2,4
951,Katherine Pryde (Earth-8280),0,1,1,1,2
932,Michael Silk,0,0,1,0,1
933,Lorne Lincoln,0,0,1,0,1
934,Nazgul,0,0,1,0,1
607,Moses,0,0,1,0,1
606,North Atlantic Treaty Organization,0,0,2,0,2
937,Carter Blaire,0,0,1,0,1
938,Cain,0,0,1,0,1
950,X-Men (Earth-8280),0,0,2,0,2
1294,Elvis Presley,0,0,1,0,1
1295,Sun Tzu,0,0,1,0,1
922,Simon Marshall,0,1,1,1,2
912,Remus,0,0,2,0,2
907,Conan,0,0,1,0,1
411,John Jonah Jameson,0,0,1,0,1
908,Jivaro Headhunters,0,0,1,0,1
909,Hovitos,0,0,1,0,1
374,Air Force,0,0,2,0,2
911,Romulus,0,0,2,0,2
913,Marada Starhair,0,0,1,0,1
920,Athena Parthenos,0,0,1,0,1
610,International Herald Tribune,0,0,1,0,1
208,Priscilla Ironwood,0,0,1,0,1
218,Magda Eisenhardt,0,1,2,1,3
216,Nikolai Rasputin,0,0,4,0,4
609,Judas Iscariot,0,0,1,0,1
919,New York State Police,0,0,2,0,2
869,Xi'an Coy Manh's father,0,1,1,1,2
34,Alexander Gentry,0,2,0,2,2
33,Samuel Smithers,0,2,0,2,2
32,Leopold Stryke,0,2,0,2,2
443,Shingen Harada,0,0,4,0,4
1028,Max Eisenhardt (Earth-87050),0,1,0,1,1
1026,Ororo Munroe (Earth-87050),0,1,0,1,1
1025,Kurt Wagner (Earth-87050),0,1,0,1,1
1024,Rogue (Anna Marie) (Earth-87050),0,1,0,1,1
1023,Charles Xavier (Earth-87050),0,0,1,0,1
1022,X-Men (Earth-87050),0,0,1,0,1
1015,Death (Earth-8720),0,0,1,0,1
1010,Federal Bureau of Investigation (Earth-8720),0,0,1,0,1
405,Adolf Hitler,0,0,7,0,7
406,Waffen-SS,0,0,1,0,1
540,Carol Danvers (Earth-811),0,0,1,0,1
539,United States Air Force (Earth-811),0,0,1,0,1
116,Heralds of Galactus,0,0,2,0,2
1415,Damage Control,0,0,1,0,1
1030,Danielle Moonstar (Earth-87050),0,1,0,1,1
269,Stranger (Cosmic Being),0,1,0,1,1
271,Sentinel Number 2,0,1,0,1,1
1459,Victor von Doom (Earth-1189),0,0,1,0,1
785,Slaymaster,0,1,0,1,1
478,Rom,0,1,2,1,3
786,Elektra Natchios,0,0,1,0,1
480,Cody Robbins,0,0,1,0,1
1461,Fantastic Four (Earth-1189),0,0,1,0,1
1460,Avengers (Earth-1189),0,0,1,0,1
1458,Brian Braddock (Earth-1189),0,0,1,0,1
1450,Rafi,0,1,0,1,1
1456,Mikhail Gorbachev,0,0,1,0,1
1455,Red Cross,0,1,0,1,1
1032,Julie Power (Earth-87050),0,0,1,0,1
1031,Samuel Guthrie (Earth-87050),0,0,1,0,1
272,Lucifer (Quist),0,1,0,1,1
1451,M'Buele,0,1,0,1,1
535,Set (Earth-8591),0,0,1,0,1
830,Robert Locksley,0,0,2,0,2
534,Sons of Set (Earth-8591),0,0,1,0,1
250,Vladimir Lenin,0,0,2,0,2
854,Bruce Willis,0,0,1,0,1
1382,Barry Braddock (Earth-8910),0,0,1,0,1
1381,Excalibur (Earth-8910),0,0,1,0,1
987,Xi'an Coy Manh (Earth-8720),0,1,0,1,1
986,Rahne Sinclair (Earth-8720),0,1,0,1,1
985,Roberto Da Costa (Earth-8720),0,1,0,1,1
240,Kathryn Worthington,0,0,1,0,1
990,Katherine Pryde (Earth-8720),0,1,0,1,1
529,Eros,0,1,0,1,1
865,Jorro,0,0,1,0,1
484,Brandy Clark,0,1,0,1,1
31,Ebenezer Laughton,0,2,0,2,2
1367,Bryon Bradek (Earth-1193),0,0,3,0,3
621,Satan (Unidentified),0,0,8,0,8
989,Ororo Munroe (Earth-8720),0,1,0,1,1
993,Lawrence Trask (Earth-8720),0,0,1,0,1
104,Gunther Bain,0,0,2,0,2
1398,Avengers (Earth-1193),0,0,1,0,1
1405,Odin Borson (Earth-8910),0,0,1,0,1
996,Yahweh (Earth-8720),0,0,1,0,1
995,Stephen Lang (Earth-8720),0,0,1,0,1
533,Thoth-Amon (Earth-8591),0,0,1,0,1
532,Black Ring (Earth-8591),0,0,1,0,1
1217,Zalph,0,0,1,0,1
840,Zheng Zu,0,0,1,0,1
994,Project Armageddon (Earth-8720),0,0,1,0,1
841,Abraham Erskine,0,0,1,0,1
842,Imperial Japan,0,0,1,0,1
93,Liam Cassidy,0,0,1,0,1
531,Thanos (Earth-8591),0,0,1,0,1
530,Cyttorak (Earth-8591),0,0,1,0,1
846,Terminus (Destroyer),0,0,1,0,1
1029,New Mutants (Earth-87050),0,0,1,0,1
