,character name,Appearances,Minor Appearances,Mentions,Total Appearances (Full and Minor),Appearances and Mentions (Full + Minor + Mentions)
1049,Bird-Brain,6,0,1,6,7
467,Beyonder,6,1,16,7,23
27,United States Air Force,6,0,2,6,8
1210,Zharkah,6,0,0,6,6
952,Valkyrior,6,1,12,7,19
135,Starbolt,6,1,0,7,7
139,Mister Fantastic,6,1,6,7,13
492,Friedrich von Roehm,6,1,1,7,8
159,Mesmero (Vincent),6,1,0,7,7
65,Doctor Doom,5,0,4,5,9
1212,Palik,5,0,0,5,5
262,Uatu,5,0,0,5,5
571,Erg,5,0,0,5,5
709,Press Gang,5,0,2,5,7
1297,Courtney Ross,5,0,0,5,5
779,Matsu'o Tsurayaba,5,0,0,5,5
377,Greer Nelson,5,0,0,5,5
1113,Pantu Hurageb,5,0,0,5,5
140,The Thing,5,3,0,8,8
1176,Infectia (Josephine),5,0,0,5,5
573,Tar Baby,5,0,0,5,5
105,Proteus (Kevin MacTaggert),5,1,6,6,12
42,Steven Lang,5,0,0,5,5
47,Davan Shakari,5,1,0,6,6
43,Michael Rossi,5,0,3,5,8
489,Jaime Rodriguez,5,0,0,5,5
36,Anthony Stark,5,0,4,5,9
927,Gladiators,5,0,0,5,5
1084,Kevin Mortensen,5,0,0,5,5
496,Lucius Aquilla,5,0,7,5,12
170,Kevin Plunder,5,1,1,6,7
1095,Kindra,5,0,0,5,5
557,Andrea von Strucker,5,0,1,5,6
1083,Gunnhild,5,0,0,5,5
206,Mister Chambers,5,0,0,5,5
1603,Neena Thurman,5,0,0,5,5
245,Doctor Strange,5,1,4,6,10
1052,Spyder,5,1,0,6,6
710,Hawkshaw,4,0,0,4,4
490,Kulan Gath (Impostor),4,0,0,4,4
696,Tension,4,0,0,4,4
436,Healer (Morlock),4,1,3,5,8
1215,Wilghe,4,0,0,4,4
1214,Vlon,4,0,0,4,4
117,Thor Odinson,4,2,10,6,16
1612,Weapon P.R.I.M.E.,4,0,1,4,5
112,Pyreus Kril,4,0,1,4,5
1360,China Doll (Earth-TRN297),4,0,0,4,4
1361,Waxworks (Earth-TRN298),4,0,0,4,4
712,Punchout,4,1,0,5,5
190,Michael Twoyoungmen,4,1,0,5,5
1363,Thug (Earth-TRN306),4,0,0,4,4
1597,Lucia Callasantos,4,0,1,4,5
1359,Joyboy (Earth-TRN300),4,0,0,4,4
720,Michael Baer,4,0,0,4,4
1358,Bodybag (Earth-TRN296),4,0,0,4,4
643,Grey Havero,4,0,0,4,4
566,Jack Power,4,0,0,4,4
1349,Gatecrasher (Earth-TRN295),4,2,0,6,6
565,Julie Power,4,0,1,4,5
563,Power Pack,4,0,2,4,6
376,Samédàr,4,0,0,4,4
1324,Callisto (Earth-597),4,0,0,4,4
1323,Moira MacTaggert (Earth-597),4,0,1,4,5
562,Katherine Power,4,0,0,4,4
1350,Yap (Earth-TRN307),4,1,0,5,5
642,Conal Duran,4,0,0,4,4
1313,Vixen (British Crimelord),4,0,0,4,4
41,Project Armageddon,4,0,1,4,5
1351,Lockheed (Earth-597),4,3,2,7,9
352,Jessica Drew,4,0,0,4,4
1277,Gauntlet (Dark Riders),4,0,0,4,4
1274,Dark Riders,4,0,0,4,4
673,Manoli Wetherell,4,0,0,4,4
1244,Crimson (Ravens),4,0,0,4,4
1220,Nikoh,4,0,0,4,4
1219,Agrom,4,0,0,4,4
44,N'Daré,4,1,2,5,7
570,Beautiful Dreamer (Morlock),4,0,0,4,4
1177,Infectia's Anti-Bodies,4,0,0,4,4
191,Narya,4,1,0,5,5
721,Prism (Robbie),4,0,0,4,4
1074,Warriors Three,4,0,2,4,6
778,Jennifer Walters,4,0,1,4,5
784,Monarch (James Braddock Jr.),4,2,1,6,7
790,Jack Wayne (Legion Personality),4,0,0,4,4
1088,Balder Odinson,4,0,2,4,6
147,Fantastic Four,4,1,20,5,25
1089,Volstagg,4,0,2,4,6
1090,Hogun,4,0,1,4,5
268,Mortimer Toynbee,4,2,1,6,7
1126,Hump,4,0,0,4,4
1091,Fandral,4,0,1,4,5
228,Hellfire Knights,4,0,1,4,5
151,Department H,4,0,1,4,5
844,Host (Skrulls),4,0,0,4,4
171,Zabu,4,1,0,5,5
167,Nereel,4,0,1,4,5
1101,Adrian Toomes,4,0,1,4,5
849,Madame Reneau,4,0,0,4,4
1134,Haruo Tsuburaya,4,0,0,4,4
270,Master Mold,4,1,2,5,7
753,Barbarus,4,0,0,4,4
752,Savage Land Mutates,4,0,0,4,4
1050,Ani-Mates,4,0,0,4,4
1153,Joanna Cargill,4,0,0,4,4
1057,X-Terminators,4,0,0,4,4
755,Gaza,4,0,0,4,4
757,Swamp Men,4,0,0,4,4
188,Alpha Flight,4,1,1,5,6
299,X-Men (Earth-811),4,1,1,5,6
287,Scarlet Witch (Wanda Maximoff),4,3,3,7,10
286,Quicksilver (Pietro Maximoff),4,2,3,6,9
1154,Timeshadow,4,0,0,4,4
