,source,target,weight
0,X-Men,X-Men,19652
1,X-Men,X-Men,19572
2,X-Men,X-Men,19572
3,X-Men,Piotr Rasputin,15524
4,X-Men,Scott Summers,10812
5,X-Men,Kurt Wagner,11720
6,X-Men,Alexander Summers,6732
7,X-Men,James Howlett,16328
8,X-Men,Ororo Munroe,17448
9,X-Men,Jean Grey,4516
10,X-Men,Jean Grey,4496
11,X-Men,Jean Grey,4496
12,X-Men,Jean Grey,4476
13,X-Men,Warren Worthington III,3968
14,X-Men,Charles Xavier,9632
15,X-Men,Charles Xavier,9632
16,X-Men,Charles Xavier,9532
17,X-Men,Charles Xavier,9532
18,X-Men,Shiro Yoshida,544
19,X-Men,Sean Cassidy,6552
20,X-Men,Robert Drake,2472
21,X-Men,Lorna Dane,3764
22,X-Men,Avengers,444
23,X-Men,Henry McCoy,3368
24,X-Men,Moira MacTaggert (Earth-TRN748),4980
25,X-Men,Shi'ar Imperial Fleet,700
26,X-Men,Lilandra Neramani,4104
27,X-Men,Jimaine Szardos,1540
28,X-Men,Peter Corbeau,1100
29,X-Men,Nicholas Fury,500
30,X-Men,Thomas Cassidy,740
31,X-Men,"Strategic Homeland Intervention, Enforcement and Logistics Division",300
32,X-Men,Hellfire Club,2464
33,X-Men,Phoenix Force,3708
34,X-Men,Phoenix Force,3608
35,X-Men,Phoenix Force,3608
36,X-Men,Phoenix Force,3508
37,X-Men,Cain Marko,1260
38,X-Men,Mercedes Knight,1120
39,X-Men,Max Eisenhardt,3424
40,X-Men,James Madrox,1120
41,X-Men,John Grey,1520
42,X-Men,Elaine Grey,1520
43,X-Men,Starjammers,1820
44,X-Men,Ch'od,1540
45,X-Men,Cr'reee,1020
46,X-Men,Christopher Summers,2300
47,X-Men,Hepzibah,1540
48,X-Men,Raza Longknife,1540
49,X-Men,Imperial Guard,920
50,X-Men,Kallark,1140
51,X-Men,Sybil (Oracle),720
52,X-Men,Araki,800
53,X-Men,Karl Lykos,320
54,X-Men,Mariko Yashida,1120
55,X-Men,Colleen Wing,800
56,X-Men,Arcade,920
57,X-Men,Miss Locke,900
58,X-Men,Jason Wyngarde,1480
59,X-Men,Peter Parker,440
60,X-Men,Brian Braddock,524
61,X-Men,Illyana Rasputina,3500
62,X-Men,Dai Thomas,220
63,X-Men,Katherine Pryde,7852
64,X-Men,Emma Frost,1020
65,X-Men,Sebastian Shaw,2244
66,X-Men,Harold Leland,944
67,X-Men,Donald Pierce,1220
68,X-Men,Alison Blaire,4676
69,X-Men,Candace Southern,440
70,X-Men,Sage,1304
71,X-Men,Wade Cole,700
72,X-Men,Angelo Macon,700
73,X-Men,Murray Reese,700
74,X-Men,Robert Kelly,820
75,X-Men,New York City Police Department,1300
76,X-Men,Frederick Dukes,1160
77,X-Men,Stephanie Hunter,1600
78,X-Men,Katherine Pryde (Earth-811),740
79,X-Men,Rachel Summers (Earth-811),2604
80,X-Men,Brotherhood of Evil Mutants,720
81,X-Men,Raven Darkhölme,1820
82,X-Men,Raven Darkhölme,1820
83,X-Men,Irene Adler,1120
84,X-Men,St. John Allerdyce,1020
85,X-Men,Dominikos Petrakis,940
86,X-Men,Henry Gyrich,540
87,X-Men,Aleytys Forrester,1300
88,X-Men,Theresa Cassidy,400
89,X-Men,Caliban,640
90,X-Men,Carol Danvers,2364
91,X-Men,Cal'syee Neramani,920
92,X-Men,Sikorsky,720
93,X-Men,Rogue (Anna Marie),8432
94,X-Men,S'ym,360
95,X-Men,Xi'an Coy Manh,704
96,X-Men,Lockheed,1960
97,X-Men,New Mutants,3284
98,X-Men,Samuel Guthrie,3084
99,X-Men,Samuel Guthrie,3084
100,X-Men,Rahne Sinclair,2904
101,X-Men,Danielle Moonstar,2004
102,X-Men,Roberto Da Costa,2984
103,X-Men,Madelyne Pryor,3784
104,X-Men,Morlocks,1960
105,X-Men,Mark Hallett,1044
106,X-Men,Callisto,2160
107,X-Men,Plague,204
108,X-Men,Masque,520
109,X-Men,Keniuchio Harada,300
110,X-Men,National Security Council,620
111,X-Men,Valerie Cooper,1040
112,X-Men,Project Wideawake,420
113,X-Men,Douglas Ramsey,1080
114,X-Men,Leech,200
115,X-Men,Selene Gallio,1124
116,X-Men,Forge,3448
117,X-Men,Adversary,900
118,X-Men,Amara Aquilla,1228
119,X-Men,Nimrod (Earth-811),820
120,X-Men,Magus (Technarch),300
121,X-Men,Warlock (Technarch),1500
122,X-Men,Hellions,100
123,X-Men,James Proudstar,200
124,X-Men,Manuel de la Rocha,100
125,X-Men,Jennifer Stavros,100
126,X-Men,Lila Cheney,740
127,X-Men,Freedom Force,720
128,X-Men,Rita Wayword,664
129,X-Men,Nathan Summers,1960
130,X-Men,Nathan Summers,1960
131,X-Men,Nathan Summers,1960
132,X-Men,Nathan Summers,1960
133,X-Men,Nathan Summers,1960
134,X-Men,Nathan Summers,1960
135,X-Men,Nathan Summers,1960
136,X-Men,Nathan Summers,1960
137,X-Men,Nathan Summers,1960
138,X-Men,Nathan Summers,1960
139,X-Men,Nathan Summers,1960
140,X-Men,Nathan Summers,1960
141,X-Men,Nathan Summers,1960
142,X-Men,Nathan Summers,1960
143,X-Men,Nathan Summers,1960
144,X-Men,Nathan Summers,1960
145,X-Men,Brightwind,320
146,X-Men,Yuriko Oyama,800
147,X-Men,Marauders,1340
148,X-Men,Philippa Sontag,720
149,X-Men,Kodiak Noatak,720
150,X-Men,Alice MacAllister,1200
151,X-Men,John Greycrow,1020
152,X-Men,Vertigo (Savage Land Mutate),620
153,X-Men,X-Factor,2260
154,X-Men,Elizabeth Braddock,6328
155,X-Men,Sharon Friedlander,800
156,X-Men,Thomas Corsi,500
157,X-Men,Victor Creed,820
158,X-Men,Nathaniel Essex,720
159,X-Men,Frank Bohannan,800
160,X-Men,Louis Hamilton,600
161,X-Men,Martin Fletcher,600
162,X-Men,Gateway,1400
163,X-Men,Reavers,800
164,X-Men,Bonebreaker,700
165,X-Men,Pretty Boy,500
166,X-Men,Skullbuster,500
167,X-Men,Right,228
168,X-Men,Patricia Tilby,500
169,X-Men,Cameron Hodge,1120
170,X-Men,Jennifer Ransome,400
171,X-Men,Cormick Grimshaw,500
172,X-Men,Magistrates,1104
173,X-Men,David Moreau,1000
174,X-Men,Phillip Moreau,320
175,X-Men,Wipeout,800
176,X-Men,N'astirh,500
177,X-Men,Tam Anderson,900
178,X-Men,En Sabah Nur,24
179,X-Men,Prosh,340
180,X-Men,Prosh,260
181,X-Men,Jubilation Lee,2600
182,X-Men,Eleanor Murch,220
183,X-Men,Orphan-Maker (Peter),220
184,X-Men,Weird Happenings Organization,220
185,X-Men,Alysande Stuart,200
186,X-Men,Lian Shen,440
187,X-Men,Jacob Reisz,440
188,X-Men,Excalibur,400
189,X-Men,Alistaire Stuart,220
190,X-Men,Muir Island X-Men,1300
191,X-Men,David Haller,600
192,X-Men,Guido Carosella,700
193,X-Men,Charlotte Jones,0
194,X-Men,Mutant Liberation Front,0
195,X-Men,Remy LeBeau,1920
196,X-Men,Tabitha Smith,1100
197,X-Men,Julio Richter,1000
198,X-Men,Emmanuel Da Costa,400
199,X-Men,Sharon Smith,0
200,X-Men,Haroun ibn Sallah al-Rashid,0
201,X-Men,Marie-Ange Colbert,0
202,X-Men,Hela,0
203,X-Men,Gosamyr,0
204,X-Men,Arthur Maddicks,0
205,X-Men,Sally Blevins,0
206,X-Men,Russell Collins,100
207,X-Men,Eitri,0
208,X-Men,Hrimhari,0
209,X-Men,Richard Gill,0
210,X-Men,Ambient-Energy Dampening Actualization Module Unit Zero (Earth-4935),0
211,X-Men,Michael McCain,0
212,X-Men,Nathan Summers (Stryfe) (Earth-4935),0
213,X-Men,Tyler Dayspring (Earth-4935),0
214,X-Men,Vanessa Carlysle,100
215,X-Men,Gideon,0
216,X-Men,Wade Wilson,0
217,X-Men,Maria Callasantos,100
218,X-Men,X-Force,100
219,X-Men,Edward Pasternak,0
220,X-Men,Abraham Kieros,4
221,X-Men,Autumn Rolfson,4
222,X-Men,Horsemen of Apocalypse,20
223,X-Men,Gammenon,0
224,X-Men,Chosen,0
225,X-Men,Seera,0
226,X-Men,Lev,0
227,X-Men,Rejects,0
228,X-Men,Opal Tanaka,100
229,X-Men,Meggan Puceanu,400
230,X-Men,Metropolitan Police Service,20
231,X-Men,Nigel Frobisher,20
232,X-Men,Opul Lun Sat-Yr-Nin (Earth-794),0
233,X-Men,George Washington Bridge,0
234,X-Men,Garrison Kane,0
235,X-Men,X-Men,19572
236,X-Men,X-Men,19576
237,X-Men,Piotr Rasputin,15528
238,X-Men,Scott Summers,10812
239,X-Men,Kurt Wagner,11720
240,X-Men,Alexander Summers,6732
241,X-Men,James Howlett,16332
242,X-Men,Ororo Munroe,17452
243,X-Men,Jean Grey,4516
244,X-Men,Jean Grey,4496
245,X-Men,Jean Grey,4496
246,X-Men,Jean Grey,4476
247,X-Men,Warren Worthington III,3968
248,X-Men,Charles Xavier,9632
249,X-Men,Charles Xavier,9632
250,X-Men,Charles Xavier,9532
251,X-Men,Charles Xavier,9532
252,X-Men,Shiro Yoshida,544
253,X-Men,Sean Cassidy,6552
254,X-Men,Robert Drake,2472
255,X-Men,Lorna Dane,3764
256,X-Men,Avengers,444
257,X-Men,Henry McCoy,3368
258,X-Men,Moira MacTaggert (Earth-TRN748),4980
259,X-Men,Shi'ar Imperial Fleet,700
260,X-Men,Lilandra Neramani,4104
261,X-Men,Jimaine Szardos,1540
262,X-Men,Peter Corbeau,1100
263,X-Men,Nicholas Fury,500
264,X-Men,Thomas Cassidy,740
265,X-Men,"Strategic Homeland Intervention, Enforcement and Logistics Division",300
266,X-Men,Hellfire Club,2464
267,X-Men,Phoenix Force,3708
268,X-Men,Phoenix Force,3608
269,X-Men,Phoenix Force,3608
270,X-Men,Phoenix Force,3508
271,X-Men,Cain Marko,1260
272,X-Men,Mercedes Knight,1120
273,X-Men,Max Eisenhardt,3424
274,X-Men,James Madrox,1120
275,X-Men,John Grey,1520
276,X-Men,Elaine Grey,1520
277,X-Men,Starjammers,1820
278,X-Men,Ch'od,1540
279,X-Men,Cr'reee,1020
280,X-Men,Christopher Summers,2300
281,X-Men,Hepzibah,1540
282,X-Men,Raza Longknife,1540
283,X-Men,Imperial Guard,920
284,X-Men,Kallark,1140
285,X-Men,Sybil (Oracle),720
286,X-Men,Araki,800
287,X-Men,Karl Lykos,320
288,X-Men,Mariko Yashida,1120
289,X-Men,Colleen Wing,800
290,X-Men,Arcade,920
291,X-Men,Miss Locke,900
292,X-Men,Jason Wyngarde,1480
293,X-Men,Peter Parker,440
294,X-Men,Brian Braddock,524
295,X-Men,Illyana Rasputina,3500
296,X-Men,Dai Thomas,220
297,X-Men,Katherine Pryde,7852
298,X-Men,Emma Frost,1020
299,X-Men,Sebastian Shaw,2244
300,X-Men,Harold Leland,944
301,X-Men,Donald Pierce,1220
302,X-Men,Alison Blaire,4676
303,X-Men,Candace Southern,440
304,X-Men,Sage,1304
305,X-Men,Wade Cole,700
306,X-Men,Angelo Macon,700
307,X-Men,Murray Reese,700
308,X-Men,Robert Kelly,820
309,X-Men,New York City Police Department,1300
310,X-Men,Frederick Dukes,1160
311,X-Men,Stephanie Hunter,1600
312,X-Men,Katherine Pryde (Earth-811),740
313,X-Men,Rachel Summers (Earth-811),2604
314,X-Men,Brotherhood of Evil Mutants,720
315,X-Men,Raven Darkhölme,1820
316,X-Men,Raven Darkhölme,1820
317,X-Men,Irene Adler,1120
318,X-Men,St. John Allerdyce,1020
319,X-Men,Dominikos Petrakis,940
320,X-Men,Henry Gyrich,540
321,X-Men,Aleytys Forrester,1300
322,X-Men,Theresa Cassidy,400
323,X-Men,Caliban,640
324,X-Men,Carol Danvers,2364
325,X-Men,Cal'syee Neramani,920
326,X-Men,Sikorsky,720
327,X-Men,Rogue (Anna Marie),8436
328,X-Men,S'ym,360
329,X-Men,Xi'an Coy Manh,704
330,X-Men,Lockheed,1960
331,X-Men,New Mutants,3304
332,X-Men,Samuel Guthrie,3104
333,X-Men,Samuel Guthrie,3104
334,X-Men,Rahne Sinclair,2904
335,X-Men,Danielle Moonstar,2004
336,X-Men,Roberto Da Costa,2984
337,X-Men,Madelyne Pryor,3784
338,X-Men,Morlocks,1980
339,X-Men,Mark Hallett,1044
340,X-Men,Callisto,2160
341,X-Men,Plague,204
342,X-Men,Masque,540
343,X-Men,Keniuchio Harada,300
344,X-Men,National Security Council,620
345,X-Men,Valerie Cooper,1040
346,X-Men,Project Wideawake,420
347,X-Men,Douglas Ramsey,1080
348,X-Men,Leech,200
349,X-Men,Selene Gallio,1124
350,X-Men,Forge,3448
351,X-Men,Adversary,900
352,X-Men,Amara Aquilla,1228
353,X-Men,Nimrod (Earth-811),820
354,X-Men,Magus (Technarch),300
355,X-Men,Warlock (Technarch),1500
356,X-Men,Hellions,100
357,X-Men,James Proudstar,220
358,X-Men,Manuel de la Rocha,100
359,X-Men,Jennifer Stavros,100
360,X-Men,Lila Cheney,740
361,X-Men,Freedom Force,720
362,X-Men,Rita Wayword,684
363,X-Men,Nathan Summers,1980
364,X-Men,Nathan Summers,1980
365,X-Men,Nathan Summers,1980
366,X-Men,Nathan Summers,1980
367,X-Men,Nathan Summers,1980
368,X-Men,Nathan Summers,1980
369,X-Men,Nathan Summers,1980
370,X-Men,Nathan Summers,1980
371,X-Men,Nathan Summers,1980
372,X-Men,Nathan Summers,1980
373,X-Men,Nathan Summers,1980
374,X-Men,Nathan Summers,1980
375,X-Men,Nathan Summers,1980
376,X-Men,Nathan Summers,1980
377,X-Men,Nathan Summers,1980
378,X-Men,Nathan Summers,1980
379,X-Men,Brightwind,320
380,X-Men,Yuriko Oyama,800
381,X-Men,Marauders,1340
382,X-Men,Philippa Sontag,720
383,X-Men,Kodiak Noatak,720
384,X-Men,Alice MacAllister,1200
385,X-Men,John Greycrow,1020
386,X-Men,Vertigo (Savage Land Mutate),620
387,X-Men,X-Factor,2260
388,X-Men,Elizabeth Braddock,6328
389,X-Men,Sharon Friedlander,800
390,X-Men,Thomas Corsi,500
391,X-Men,Victor Creed,820
392,X-Men,Nathaniel Essex,720
393,X-Men,Frank Bohannan,800
394,X-Men,Louis Hamilton,600
395,X-Men,Martin Fletcher,600
396,X-Men,Gateway,1400
397,X-Men,Reavers,800
398,X-Men,Bonebreaker,700
399,X-Men,Pretty Boy,500
400,X-Men,Skullbuster,500
401,X-Men,Right,228
402,X-Men,Patricia Tilby,500
403,X-Men,Cameron Hodge,1120
404,X-Men,Jennifer Ransome,400
405,X-Men,Cormick Grimshaw,500
406,X-Men,Magistrates,1104
407,X-Men,David Moreau,1000
408,X-Men,Phillip Moreau,320
409,X-Men,Wipeout,800
410,X-Men,N'astirh,500
411,X-Men,Tam Anderson,900
412,X-Men,En Sabah Nur,24
413,X-Men,Prosh,340
414,X-Men,Prosh,260
415,X-Men,Jubilation Lee,2600
416,X-Men,Eleanor Murch,220
417,X-Men,Orphan-Maker (Peter),220
418,X-Men,Weird Happenings Organization,220
419,X-Men,Alysande Stuart,200
420,X-Men,Lian Shen,440
421,X-Men,Jacob Reisz,440
422,X-Men,Excalibur,400
423,X-Men,Alistaire Stuart,220
424,X-Men,Muir Island X-Men,1300
425,X-Men,David Haller,600
426,X-Men,Guido Carosella,700
427,X-Men,Charlotte Jones,0
428,X-Men,Mutant Liberation Front,20
429,X-Men,Remy LeBeau,1920
430,X-Men,Tabitha Smith,1120
431,X-Men,Julio Richter,1000
432,X-Men,Emmanuel Da Costa,400
433,X-Men,Sharon Smith,0
434,X-Men,Haroun ibn Sallah al-Rashid,0
435,X-Men,Marie-Ange Colbert,0
436,X-Men,Hela,0
437,X-Men,Gosamyr,0
438,X-Men,Arthur Maddicks,0
439,X-Men,Sally Blevins,20
440,X-Men,Russell Collins,120
441,X-Men,Eitri,0
442,X-Men,Hrimhari,0
443,X-Men,Richard Gill,20
444,X-Men,Ambient-Energy Dampening Actualization Module Unit Zero (Earth-4935),20
445,X-Men,Michael McCain,20
446,X-Men,Nathan Summers (Stryfe) (Earth-4935),20
447,X-Men,Tyler Dayspring (Earth-4935),0
448,X-Men,Vanessa Carlysle,120
449,X-Men,Gideon,0
450,X-Men,Wade Wilson,0
451,X-Men,Maria Callasantos,120
452,X-Men,X-Force,120
453,X-Men,Edward Pasternak,0
454,X-Men,Abraham Kieros,4
455,X-Men,Autumn Rolfson,4
456,X-Men,Horsemen of Apocalypse,20
457,X-Men,Gammenon,0
458,X-Men,Chosen,0
459,X-Men,Seera,0
460,X-Men,Lev,0
461,X-Men,Rejects,0
462,X-Men,Opal Tanaka,100
463,X-Men,Meggan Puceanu,400
464,X-Men,Metropolitan Police Service,20
465,X-Men,Nigel Frobisher,20
466,X-Men,Opul Lun Sat-Yr-Nin (Earth-794),0
467,X-Men,George Washington Bridge,0
468,X-Men,Garrison Kane,0
469,X-Men,X-Men,19556
470,X-Men,Piotr Rasputin,15508
471,X-Men,Scott Summers,10796
472,X-Men,Kurt Wagner,11704
473,X-Men,Alexander Summers,6732
474,X-Men,James Howlett,16328
475,X-Men,Ororo Munroe,17368
476,X-Men,Jean Grey,4500
477,X-Men,Jean Grey,4480
478,X-Men,Jean Grey,4480
479,X-Men,Jean Grey,4460
480,X-Men,Warren Worthington III,3952
481,X-Men,Charles Xavier,9552
482,X-Men,Charles Xavier,9552
483,X-Men,Charles Xavier,9452
484,X-Men,Charles Xavier,9452
485,X-Men,Shiro Yoshida,544
486,X-Men,Sean Cassidy,6552
487,X-Men,Robert Drake,2456
488,X-Men,Lorna Dane,3764
489,X-Men,Avengers,444
490,X-Men,Henry McCoy,3352
491,X-Men,Moira MacTaggert (Earth-TRN748),4980
492,X-Men,Shi'ar Imperial Fleet,700
493,X-Men,Lilandra Neramani,4024
494,X-Men,Jimaine Szardos,1540
495,X-Men,Peter Corbeau,1100
496,X-Men,Nicholas Fury,500
497,X-Men,Thomas Cassidy,740
498,X-Men,"Strategic Homeland Intervention, Enforcement and Logistics Division",300
499,X-Men,Hellfire Club,2384
500,X-Men,Phoenix Force,3708
501,X-Men,Phoenix Force,3608
502,X-Men,Phoenix Force,3608
503,X-Men,Phoenix Force,3508
504,X-Men,Cain Marko,1260
505,X-Men,Mercedes Knight,1120
506,X-Men,Max Eisenhardt,3344
507,X-Men,James Madrox,1120
508,X-Men,John Grey,1520
509,X-Men,Elaine Grey,1520
510,X-Men,Starjammers,1740
511,X-Men,Ch'od,1460
512,X-Men,Cr'reee,940
513,X-Men,Christopher Summers,2220
514,X-Men,Hepzibah,1460
515,X-Men,Raza Longknife,1460
516,X-Men,Imperial Guard,920
517,X-Men,Kallark,1140
518,X-Men,Sybil (Oracle),720
519,X-Men,Araki,800
520,X-Men,Karl Lykos,320
521,X-Men,Mariko Yashida,1120
522,X-Men,Colleen Wing,800
523,X-Men,Arcade,920
524,X-Men,Miss Locke,900
525,X-Men,Jason Wyngarde,1480
526,X-Men,Peter Parker,440
527,X-Men,Brian Braddock,524
528,X-Men,Illyana Rasputina,3420
529,X-Men,Dai Thomas,220
530,X-Men,Katherine Pryde,7852
531,X-Men,Emma Frost,940
532,X-Men,Sebastian Shaw,2164
533,X-Men,Harold Leland,944
534,X-Men,Donald Pierce,1220
535,X-Men,Alison Blaire,4676
536,X-Men,Candace Southern,440
537,X-Men,Sage,1224
538,X-Men,Wade Cole,700
539,X-Men,Angelo Macon,700
540,X-Men,Murray Reese,700
541,X-Men,Robert Kelly,820
542,X-Men,New York City Police Department,1300
543,X-Men,Frederick Dukes,1160
544,X-Men,Stephanie Hunter,1600
545,X-Men,Katherine Pryde (Earth-811),740
546,X-Men,Rachel Summers (Earth-811),2604
547,X-Men,Brotherhood of Evil Mutants,720
548,X-Men,Raven Darkhölme,1820
549,X-Men,Raven Darkhölme,1820
550,X-Men,Irene Adler,1120
551,X-Men,St. John Allerdyce,1020
552,X-Men,Dominikos Petrakis,940
553,X-Men,Henry Gyrich,540
554,X-Men,Aleytys Forrester,1300
555,X-Men,Theresa Cassidy,400
556,X-Men,Caliban,640
557,X-Men,Carol Danvers,2284
558,X-Men,Cal'syee Neramani,920
559,X-Men,Sikorsky,640
560,X-Men,Rogue (Anna Marie),8416
561,X-Men,S'ym,360
562,X-Men,Xi'an Coy Manh,624
563,X-Men,Lockheed,1960
564,X-Men,New Mutants,3204
565,X-Men,Samuel Guthrie,3004
566,X-Men,Samuel Guthrie,3004
567,X-Men,Rahne Sinclair,2824
568,X-Men,Danielle Moonstar,1924
569,X-Men,Roberto Da Costa,2904
570,X-Men,Madelyne Pryor,3784
571,X-Men,Morlocks,1944
572,X-Men,Mark Hallett,1028
573,X-Men,Callisto,2144
574,X-Men,Plague,204
575,X-Men,Masque,520
576,X-Men,Keniuchio Harada,300
577,X-Men,National Security Council,620
578,X-Men,Valerie Cooper,1040
579,X-Men,Project Wideawake,420
580,X-Men,Douglas Ramsey,1000
581,X-Men,Leech,200
582,X-Men,Selene Gallio,1044
583,X-Men,Forge,3448
584,X-Men,Adversary,900
585,X-Men,Amara Aquilla,1148
586,X-Men,Nimrod (Earth-811),820
587,X-Men,Magus (Technarch),300
588,X-Men,Warlock (Technarch),1420
589,X-Men,Hellions,100
590,X-Men,James Proudstar,200
591,X-Men,Manuel de la Rocha,100
592,X-Men,Jennifer Stavros,100
593,X-Men,Lila Cheney,740
594,X-Men,Freedom Force,720
595,X-Men,Rita Wayword,664
596,X-Men,Nathan Summers,1944
597,X-Men,Nathan Summers,1944
598,X-Men,Nathan Summers,1944
599,X-Men,Nathan Summers,1944
600,X-Men,Nathan Summers,1944
601,X-Men,Nathan Summers,1944
602,X-Men,Nathan Summers,1944
603,X-Men,Nathan Summers,1944
604,X-Men,Nathan Summers,1944
605,X-Men,Nathan Summers,1944
606,X-Men,Nathan Summers,1944
607,X-Men,Nathan Summers,1944
608,X-Men,Nathan Summers,1944
609,X-Men,Nathan Summers,1944
610,X-Men,Nathan Summers,1944
611,X-Men,Nathan Summers,1944
612,X-Men,Brightwind,320
613,X-Men,Yuriko Oyama,800
614,X-Men,Marauders,1324
615,X-Men,Philippa Sontag,720
616,X-Men,Kodiak Noatak,720
617,X-Men,Alice MacAllister,1200
618,X-Men,John Greycrow,1020
619,X-Men,Vertigo (Savage Land Mutate),620
620,X-Men,X-Factor,2244
621,X-Men,Elizabeth Braddock,6328
622,X-Men,Sharon Friedlander,800
623,X-Men,Thomas Corsi,500
624,X-Men,Victor Creed,820
625,X-Men,Nathaniel Essex,720
626,X-Men,Frank Bohannan,800
627,X-Men,Louis Hamilton,600
628,X-Men,Martin Fletcher,600
629,X-Men,Gateway,1400
630,X-Men,Reavers,800
631,X-Men,Bonebreaker,700
632,X-Men,Pretty Boy,500
633,X-Men,Skullbuster,500
634,X-Men,Right,228
635,X-Men,Patricia Tilby,500
636,X-Men,Cameron Hodge,1040
637,X-Men,Jennifer Ransome,400
638,X-Men,Cormick Grimshaw,500
639,X-Men,Magistrates,1104
640,X-Men,David Moreau,1000
641,X-Men,Phillip Moreau,320
642,X-Men,Wipeout,800
643,X-Men,N'astirh,500
644,X-Men,Tam Anderson,900
645,X-Men,En Sabah Nur,24
646,X-Men,Prosh,340
647,X-Men,Prosh,260
648,X-Men,Jubilation Lee,2600
649,X-Men,Eleanor Murch,220
650,X-Men,Orphan-Maker (Peter),220
651,X-Men,Weird Happenings Organization,220
652,X-Men,Alysande Stuart,200
653,X-Men,Lian Shen,440
654,X-Men,Jacob Reisz,440
655,X-Men,Excalibur,400
656,X-Men,Alistaire Stuart,220
657,X-Men,Muir Island X-Men,1300
658,X-Men,David Haller,600
659,X-Men,Guido Carosella,700
660,X-Men,Charlotte Jones,0
661,X-Men,Mutant Liberation Front,0
662,X-Men,Remy LeBeau,1920
663,X-Men,Tabitha Smith,1100
664,X-Men,Julio Richter,1000
665,X-Men,Emmanuel Da Costa,400
666,X-Men,Sharon Smith,0
667,X-Men,Haroun ibn Sallah al-Rashid,0
668,X-Men,Marie-Ange Colbert,0
669,X-Men,Hela,0
670,X-Men,Gosamyr,0
671,X-Men,Arthur Maddicks,0
672,X-Men,Sally Blevins,0
673,X-Men,Russell Collins,100
674,X-Men,Eitri,0
675,X-Men,Hrimhari,0
676,X-Men,Richard Gill,0
677,X-Men,Ambient-Energy Dampening Actualization Module Unit Zero (Earth-4935),0
678,X-Men,Michael McCain,0
679,X-Men,Nathan Summers (Stryfe) (Earth-4935),0
680,X-Men,Tyler Dayspring (Earth-4935),0
681,X-Men,Vanessa Carlysle,100
682,X-Men,Gideon,0
683,X-Men,Wade Wilson,0
684,X-Men,Maria Callasantos,100
685,X-Men,X-Force,100
686,X-Men,Edward Pasternak,0
687,X-Men,Abraham Kieros,4
688,X-Men,Autumn Rolfson,4
689,X-Men,Horsemen of Apocalypse,20
690,X-Men,Gammenon,0
691,X-Men,Chosen,0
692,X-Men,Seera,0
693,X-Men,Lev,0
694,X-Men,Rejects,0
695,X-Men,Opal Tanaka,100
696,X-Men,Meggan Puceanu,400
697,X-Men,Metropolitan Police Service,20
698,X-Men,Nigel Frobisher,20
699,X-Men,Opul Lun Sat-Yr-Nin (Earth-794),0
700,X-Men,George Washington Bridge,0
701,X-Men,Garrison Kane,0
702,X-Men,Piotr Rasputin,15512
703,X-Men,Scott Summers,10796
704,X-Men,Kurt Wagner,11704
705,X-Men,Alexander Summers,6732
706,X-Men,James Howlett,16332
707,X-Men,Ororo Munroe,17372
708,X-Men,Jean Grey,4500
709,X-Men,Jean Grey,4480
710,X-Men,Jean Grey,4480
711,X-Men,Jean Grey,4460
712,X-Men,Warren Worthington III,3952
713,X-Men,Charles Xavier,9552
714,X-Men,Charles Xavier,9552
715,X-Men,Charles Xavier,9452
716,X-Men,Charles Xavier,9452
717,X-Men,Shiro Yoshida,544
718,X-Men,Sean Cassidy,6552
719,X-Men,Robert Drake,2456
720,X-Men,Lorna Dane,3764
721,X-Men,Avengers,444
722,X-Men,Henry McCoy,3352
723,X-Men,Moira MacTaggert (Earth-TRN748),4980
724,X-Men,Shi'ar Imperial Fleet,700
725,X-Men,Lilandra Neramani,4024
726,X-Men,Jimaine Szardos,1540
727,X-Men,Peter Corbeau,1100
728,X-Men,Nicholas Fury,500
729,X-Men,Thomas Cassidy,740
730,X-Men,"Strategic Homeland Intervention, Enforcement and Logistics Division",300
731,X-Men,Hellfire Club,2384
732,X-Men,Phoenix Force,3708
733,X-Men,Phoenix Force,3608
734,X-Men,Phoenix Force,3608
735,X-Men,Phoenix Force,3508
736,X-Men,Cain Marko,1260
737,X-Men,Mercedes Knight,1120
738,X-Men,Max Eisenhardt,3344
739,X-Men,James Madrox,1120
740,X-Men,John Grey,1520
741,X-Men,Elaine Grey,1520
742,X-Men,Starjammers,1740
743,X-Men,Ch'od,1460
744,X-Men,Cr'reee,940
745,X-Men,Christopher Summers,2220
746,X-Men,Hepzibah,1460
747,X-Men,Raza Longknife,1460
748,X-Men,Imperial Guard,920
749,X-Men,Kallark,1140
750,X-Men,Sybil (Oracle),720
751,X-Men,Araki,800
752,X-Men,Karl Lykos,320
753,X-Men,Mariko Yashida,1120
754,X-Men,Colleen Wing,800
755,X-Men,Arcade,920
756,X-Men,Miss Locke,900
757,X-Men,Jason Wyngarde,1480
758,X-Men,Peter Parker,440
759,X-Men,Brian Braddock,524
760,X-Men,Illyana Rasputina,3420
761,X-Men,Dai Thomas,220
762,X-Men,Katherine Pryde,7852
763,X-Men,Emma Frost,940
764,X-Men,Sebastian Shaw,2164
765,X-Men,Harold Leland,944
766,X-Men,Donald Pierce,1220
767,X-Men,Alison Blaire,4676
768,X-Men,Candace Southern,440
769,X-Men,Sage,1224
770,X-Men,Wade Cole,700
771,X-Men,Angelo Macon,700
772,X-Men,Murray Reese,700
773,X-Men,Robert Kelly,820
774,X-Men,New York City Police Department,1300
